SSID,Members,Definition,Appropriate,Unbiased,Biased,Incidental,Comment
oewn-11104504-n,Jezebel,wife of Ahab who was king of Israel; according to the Old Testament she was a cruel immoral queen who fostered the worship of Baal and tried to kill Elijah and other prophets of Israel (9th century BC),TRUE,FALSE,FALSE,FALSE,
oewn-11109308-n,"Irene Joliot-Curie, Joliot-Curie",French physicist who (with her husband) synthesized new chemical elements (1897-1956),TRUE,FALSE,FALSE,FALSE,
oewn-11111535-n,"Janis Joplin, Joplin",United States singer who died of a drug overdose at the height of her popularity (1943-1970),TRUE,FALSE,FALSE,FALSE,
oewn-11119075-n,"Helen Adams Keller, Helen Keller, Keller",United States lecturer and writer who was blind and deaf from the age of 19 months; Anne Sullivan taught her to read and write and speak; Helen Keller graduated from college and went on to champion the cause of blind and deaf people (1880-1968),TRUE,FALSE,FALSE,FALSE,
oewn-11119913-n,"Grace Kelly, Grace Patricia Kelly, Princess Grace of Monaco, Kelly",United States film actress who retired when she married into the royal family of Monaco (1928-1982),TRUE,FALSE,FALSE,FALSE,
oewn-11130386-n,"Lee Krasner, Krasner",United States artist remembered for her spontaneous approach to painting; she was a founder of the New York school of abstract expressionism (1908-1984),TRUE,FALSE,FALSE,FALSE,
oewn-11136456-n,"Dorothea Lange, Lange",United States photographer remembered for her portraits of rural workers during the Depression (1895-1965),TRUE,FALSE,FALSE,FALSE,
oewn-11176538-n,Marie Antoinette,queen of France (as wife of Louis XVI) who was unpopular; her extravagance and opposition to reform contributed to the overthrow of the monarchy; she was guillotined along with her husband (1755-1793),TRUE,FALSE,FALSE,FALSE,
oewn-11181402-n,"Virgin Mary, Blessed Virgin, The Virgin, Madonna, Mary",the mother of Jesus; Christians refer to her as the Virgin Mary; she is especially honored by Roman Catholics,TRUE,FALSE,FALSE,FALSE,
oewn-11181654-n,"Bloody Mary, Mary I, Mary I of England, Mary Tudor",daughter of Henry VIII and Catherine of Aragon who was Queen of England from 1553 to 1558; she was the wife of Philip II of Spain and when she restored Roman Catholicism to England many Protestants were burned at the stake as heretics (1516-1558),TRUE,FALSE,FALSE,FALSE,
